File Path	URLs and IP Addresses
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions/-/functions-0.7.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions-compat/-/functions-compat-0.1.9.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions-types/-/functions-types-0.5.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/installations/-/installations-0.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/logger/-/logger-0.3.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging/-/messaging-0.9.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging-compat/-/messaging-compat-0.1.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging-interop-types/-/messaging-interop-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance/-/performance-0.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance-compat/-/performance-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance-types/-/performance-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/polyfill/-/polyfill-0.3.36.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config/-/remote-config-0.3.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config-compat/-/remote-config-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config-types/-/remote-config-types-0.2.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage/-/storage-0.9.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage-compat/-/storage-compat-0.1.10.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage-types/-/storage-types-0.6.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/util/-/util-1.4.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/webchannel-wrapper/-/webchannel-wrapper-0.6.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@grpc/grpc-js/-/grpc-js-1.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@grpc/proto-loader/-/proto-loader-0.6.9.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/aspromise/-/aspromise-1.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/base64/-/base64-1.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/codegen/-/codegen-2.0.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/eventemitter/-/eventemitter-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/fetch/-/fetch-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/float/-/float-1.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/inquire/-/inquire-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/path/-/path-1.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/pool/-/pool-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/utf8/-/utf8-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@types/long/-/long-4.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@types/node/-/node-17.0.17.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	github.com	https://github.com/chalk/ansi-styles?sponsor=1"
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/brace-expansion/-/brace-expansion-1.1.11.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/cliui/-/cliui-7.0.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/color-convert/-/color-convert-2.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/color-name/-/color-name-1.1.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/concat-map/-/concat-map-0.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/core-js/-/core-js-3.6.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	opencollective.com	https://opencollective.com/core-js"
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/emoji-regex/-/emoji-regex-8.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/escalade/-/escalade-3.1.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/faye-websocket/-/faye-websocket-0.11.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/firebase/-/firebase-9.6.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/fs.realpath/-/fs.realpath-1.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/get-caller-file/-/get-caller-file-2.0.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/glob/-/glob-7.2.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	github.com	https://github.com/sponsors/isaacs"
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/http-parser-js/-/http-parser-js-0.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/idb/-/idb-3.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/immediate/-/immediate-3.0.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/inflight/-/inflight-1.0.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/inherits/-/inherits-2.0.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/is-fullwidth-code-point/-/is-fullwidth-code-point-3.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/isarray/-/isarray-1.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/jszip/-/jszip-3.7.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/lie/-/lie-3.3.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/lodash.camelcase/-/lodash.camelcase-4.3.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/long/-/long-4.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/minimatch/-/minimatch-3.1.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/node-fetch/-/node-fetch-2.6.7.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/once/-/once-1.4.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/pako/-/pako-1.0.11.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/path-is-absolute/-/path-is-absolute-1.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/process-nextick-args/-/process-nextick-args-2.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/promise-polyfill/-/promise-polyfill-8.1.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/protobufjs/-/protobufjs-6.11.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/readable-stream/-/readable-stream-2.3.7.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/require-directory/-/require-directory-2.1.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/rimraf/-/rimraf-3.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	github.com	https://github.com/sponsors/isaacs"
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/selenium-webdriver/-/selenium-webdriver-4.0.0-rc-1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/set-immediate-shim/-/set-immediate-shim-1.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/string_decoder/-/string_decoder-1.1.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/string-width/-/string-width-4.2.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/strip-ansi/-/strip-ansi-6.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/tmp/-/tmp-0.2.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/tr46/-/tr46-0.0.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/tslib/-/tslib-2.3.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/util-deprecate/-/util-deprecate-1.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/webidl-conversions/-/webidl-conversions-3.0.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/websocket-driver/-/websocket-driver-0.7.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/websocket-extensions/-/websocket-extensions-0.1.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/whatwg-fetch/-/whatwg-fetch-2.0.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/whatwg-url/-/whatwg-url-5.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/wrap-ansi/-/wrap-ansi-7.0.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	github.com	https://github.com/chalk/wrap-ansi?sponsor=1"
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/wrappy/-/wrappy-1.0.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/ws/-/ws-8.5.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/y18n/-/y18n-5.0.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/yargs/-/yargs-16.2.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/yargs-parser/-/yargs-parser-20.2.9.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics/-/analytics-0.7.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics-compat/-/analytics-compat-0.1.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/analytics-types/-/analytics-types-0.7.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app/-/app-0.7.16.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check/-/app-check-0.5.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check-compat/-/app-check-compat-0.2.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-check-interop-types/-/app-check-interop-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-compat/-/app-compat-0.1.17.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/app-types/-/app-types-0.7.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth/-/auth-0.19.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-compat/-/auth-compat-0.2.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-interop-types/-/auth-interop-types-0.1.6.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/auth-types/-/auth-types-0.11.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/component/-/component-0.5.10.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database/-/database-0.12.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database-compat/-/database-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/database-types/-/database-types-0.9.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore/-/firestore-3.4.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore-compat/-/firestore-compat-0.1.13.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/firestore-types/-/firestore-types-2.5.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions/-/functions-0.7.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions-compat/-/functions-compat-0.1.9.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/functions-types/-/functions-types-0.5.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/installations/-/installations-0.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/logger/-/logger-0.3.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging/-/messaging-0.9.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging-compat/-/messaging-compat-0.1.8.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/messaging-interop-types/-/messaging-interop-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance/-/performance-0.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance-compat/-/performance-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/performance-types/-/performance-types-0.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/polyfill/-/polyfill-0.3.36.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config/-/remote-config-0.3.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config-compat/-/remote-config-compat-0.1.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/remote-config-types/-/remote-config-types-0.2.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage/-/storage-0.9.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage-compat/-/storage-compat-0.1.10.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/storage-types/-/storage-types-0.6.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/util/-/util-1.4.3.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@firebase/webchannel-wrapper/-/webchannel-wrapper-0.6.1.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@grpc/grpc-js/-/grpc-js-1.5.5.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@grpc/proto-loader/-/proto-loader-0.6.9.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/aspromise/-/aspromise-1.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/base64/-/base64-1.1.2.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/codegen/-/codegen-2.0.4.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/eventemitter/-/eventemitter-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/fetch/-/fetch-1.1.0.tgz",
C:\Users\pc\Downloads\Userappandweb\User app and web\package-lock.json	registry.npmjs.org	https://registry.npmjs.org/@protobufjs/float/-/float-1.0.2.tgz",
